,week,age_group,num
1,5,45,2
2,5,24,1
3,5,69,1
4,5,16,1
5,5,27,1
6,5,59,1
7,5,65,1
8,5,75,1
9,6,45,1
10,6,24,2
11,6,70,1
12,6,27,2
13,6,65,1
14,6,54,1
15,6,46,2
16,6,3,1
17,6,48,1
18,6,40,1
19,6,96,1
20,6,85,1
21,6,26,1
22,6,33,2
23,6,37,1
24,6,43,1
25,7,20,3
26,7,45,1
27,7,24,4
28,7,69,1
29,7,27,4
30,7,59,2
31,7,65,2
32,7,75,1
33,7,54,1
34,7,53,1
35,7,25,2
36,7,63,1
37,7,47,2
38,7,26,2
39,7,33,2
40,7,37,1
41,7,21,5
42,7,42,1
43,7,44,1
44,7,51,1
45,7,31,2
46,7,32,6
47,7,49,1
48,7,52,2
49,7,22,4
50,7,18,1
51,7,34,2
52,7,35,6
53,7,30,1
54,7,38,1
55,7,19,1
56,7,58,1
57,7,60,2
58,7,39,1
59,7,17,1
60,8,20,4
61,8,45,5
62,8,24,8
63,8,69,1
64,8,55,2
65,8,70,1
66,8,27,4
67,8,65,5
68,8,54,1
69,8,53,4
70,8,61,2
71,8,25,8
72,8,63,4
73,8,46,2
74,8,3,1
75,8,48,3
76,8,40,3
77,8,47,2
78,8,26,5
79,8,33,4
80,8,37,5
81,8,43,1
82,8,21,11
83,8,42,4
84,8,51,1
85,8,31,3
86,8,32,7
87,8,29,2
88,8,49,6
89,8,52,2
90,8,22,7
91,8,18,4
92,8,34,3
93,8,56,2
94,8,35,5
95,8,50,3
96,8,30,4
97,8,38,5
98,8,23,10
99,8,58,4
100,8,41,6
101,8,2,1
102,8,60,4
103,8,74,1
104,8,39,5
105,8,36,5
106,8,57,3
107,8,64,1
108,8,7,1
109,8,66,2
110,8,12,1
111,8,1,2
112,8,11,1
113,8,31,4
114,9,20,4
115,9,45,7
116,9,24,3
117,9,55,6
118,9,70,3
119,9,16,2
120,9,27,6
121,9,59,2
122,9,65,6
123,9,54,7
124,9,53,4
125,9,61,1
126,9,25,4
127,9,63,5
128,9,46,5
129,9,48,7
130,9,40,17
131,9,47,6
132,9,13,1
133,9,68,3
134,9,26,5
135,9,33,5
136,9,37,6
137,9,43,9
138,9,21,6
139,9,42,9
140,9,44,4
141,9,51,2
142,9,31,10
143,9,32,7
144,9,29,2
145,9,67,2
146,9,49,2
147,9,52,10
148,9,22,2
149,9,18,1
150,9,34,11
151,9,28,5
152,9,56,2
153,9,35,15
154,9,50,10
155,9,30,4
156,9,38,9
157,9,23,5
158,9,19,3
159,9,58,3
160,9,41,7
161,9,60,7
162,9,39,14
163,9,17,2
164,9,36,9
165,9,57,3
166,9,81,1
167,9,62,1
168,9,73,1
169,9,7,1
170,9,66,4
171,9,1,1
172,9,14,1
173,9,11,1
174,9,92,1
175,9,72,3
176,9,15,1
177,9,77,1
178,9,10,3
179,9,80,1
180,9,71,1
181,9,78,2
182,9,79,1
183,10,20,6
184,10,45,8
185,10,24,5
186,10,69,2
187,10,55,8
188,10,70,3
189,10,16,5
190,10,27,8
191,10,59,1
192,10,65,5
193,10,75,1
194,10,54,4
195,10,53,2
196,10,25,4
197,10,63,4
198,10,46,4
199,10,48,4
200,10,40,9
201,10,47,5
202,10,13,3
203,10,68,4
204,10,26,7
205,10,33,10
206,10,37,8
207,10,43,8
208,10,21,5
209,10,42,5
210,10,44,2
211,10,51,3
212,10,31,6
213,10,32,13
214,10,29,5
215,10,67,3
216,10,49,2
217,10,52,8
218,10,22,7
219,10,18,4
220,10,34,5
221,10,28,4
222,10,56,4
223,10,35,14
224,10,50,6
225,10,30,7
226,10,38,7
227,10,23,2
228,10,19,5
229,10,58,2
230,10,41,5
231,10,60,5
232,10,39,3
233,10,17,4
234,10,36,6
235,10,57,5
236,10,64,2
237,10,81,1
238,10,62,2
239,10,7,1
240,10,12,1
241,10,14,1
242,10,11,2
243,10,15,4
244,10,77,2
245,10,10,2
246,10,90,1
247,10,4,1
248,10,8,2
249,11,20,3
250,11,45,5
251,11,24,1
252,11,69,2
253,11,55,5
254,11,16,1
255,11,27,2
256,11,59,1
257,11,65,6
258,11,75,1
259,11,25,6
260,11,63,2
261,11,46,1
262,11,48,6
263,11,40,5
264,11,47,3
265,11,13,4
266,11,26,6
267,11,33,4
268,11,76,1
269,11,37,4
270,11,43,6
271,11,21,5
272,11,42,2
