"","week","age_group","num"
"1",13,"1",6
"2",13,"2",7
"3",13,"3",2
"4",13,"4",1
"5",13,"5",1
"6",13,"6",2
"7",13,"7",6
"8",13,"8",5
"9",13,"10",4
"10",13,"11",4
"11",13,"12",6
"12",13,"13",5
"13",13,"14",4
"14",13,"15",9
"15",13,"16",8
"16",13,"17",7
"17",13,"18",10
"18",13,"19",7
"19",13,"20",9
"20",13,"21",12
"21",13,"22",9
"22",13,"23",14
"23",13,"24",14
"24",13,"25",12
"25",13,"26",8
"26",13,"27",14
"27",13,"28",14
"28",13,"29",8
"29",13,"30",13
"30",13,"31",11
"31",13,"32",19
"32",13,"33",5
"33",13,"34",5
"34",13,"35",13
"35",13,"36",10
"36",13,"37",8
"37",13,"38",13
"38",13,"39",5
"39",13,"40",19
"40",13,"41",7
"41",13,"42",9
"42",13,"43",6
"43",13,"44",4
"44",13,"45",15
"45",13,"46",3
"46",13,"47",6
"47",13,"48",8
"48",13,"49",4
"49",13,"50",12
"50",13,"51",1
"51",13,"52",2
"52",13,"53",3
"53",13,"54",4
"54",13,"55",7
"55",13,"56",2
"56",13,"57",3
"57",13,"58",6
"58",13,"59",1
"59",13,"60",11
"60",13,"62",1
"61",13,"63",2
"62",13,"64",4
"63",13,"65",11
"64",13,"67",3
"65",13,"69",1
"66",13,"70",2
"67",13,"74",1
"68",13,"75",3
"69",13,"76",1
"70",13,"79",1
"71",13,"80",2
"72",13,"85",2
"73",14,"1",10
"74",14,"1.5",1
"75",14,"2",5
"76",14,"2.5",1
"77",14,"3",11
"78",14,"4",6
"79",14,"5",5
"80",14,"6",3
"81",14,"7",7
"82",14,"8",4
"83",14,"9",4
"84",14,"10",5
"85",14,"11",7
"86",14,"12",11
"87",14,"13",11
"88",14,"14",2
"89",14,"15",12
"90",14,"16",13
"91",14,"17",11
"92",14,"18",12
"93",14,"19",21
"94",14,"20",26
"95",14,"21",14
"96",14,"22",22
"97",14,"23",32
"98",14,"24",21
"99",14,"25",29
"100",14,"26",25
"101",14,"27",24
"102",14,"28",29
"103",14,"29",22
"104",14,"30",32
"105",14,"31",11
"106",14,"32",26
"107",14,"33",11
"108",14,"34",12
"109",14,"35",23
"110",14,"36",25
"111",14,"37",14
