"","week","age_group","num"
"1",13,"1",5
"2",13,"2",6
"3",13,"3",4
"4",13,"4",3
"5",13,"5",1
"6",13,"6",4
"7",13,"7",4
"8",13,"8",4
"9",13,"9",5
"10",13,"10",6
"11",13,"11",4
"12",13,"12",5
"13",13,"13",8
"14",13,"14",4
"15",13,"15",11
"16",13,"16",15
"17",13,"17",18
"18",13,"18",13
"19",13,"19",13
"20",13,"20",24
"21",13,"21",19
"22",13,"22",14
"23",13,"23",19
"24",13,"24",15
"25",13,"25",19
"26",13,"26",21
"27",13,"27",22
"28",13,"28",20
"29",13,"29",21
"30",13,"30",33
"31",13,"31",12
"32",13,"32",18
"33",13,"33",11
"34",13,"34",16
"35",13,"35",27
"36",13,"36",16
"37",13,"37",17
"38",13,"38",19
"39",13,"39",18
"40",13,"40",31
"41",13,"41",9
"42",13,"42",16
"43",13,"43",11
"44",13,"44",4
"45",13,"45",23
"46",13,"46",10
"47",13,"47",8
"48",13,"48",12
"49",13,"49",6
"50",13,"50",21
"51",13,"51",8
"52",13,"52",10
"53",13,"53",7
"54",13,"54",10
"55",13,"55",12
"56",13,"56",8
"57",13,"57",6
"58",13,"58",9
"59",13,"59",1
"60",13,"60",11
"61",13,"61",4
"62",13,"62",8
"63",13,"63",7
"64",13,"64",3
"65",13,"65",9
"66",13,"67",3
"67",13,"68",3
"68",13,"69",4
"69",13,"70",2
"70",13,"71",3
"71",13,"72",1
"72",13,"73",1
"73",13,"75",2
"74",13,"76",1
"75",13,"77",1
"76",13,"78",1
"77",13,"81",1
"78",13,"82",1
"79",13,"83",1
"80",14,"1",8
"81",14,"2",8
"82",14,"3",6
"83",14,"4",6
"84",14,"5",10
"85",14,"6",8
"86",14,"7",10
"87",14,"8",9
"88",14,"9",9
"89",14,"10",11
"90",14,"11",5
"91",14,"12",6
"92",14,"13",11
"93",14,"14",13
"94",14,"15",14
"95",14,"16",13
"96",14,"17",17
"97",14,"18",27
"98",14,"19",22
"99",14,"20",46
"100",14,"21",41
"101",14,"22",47
"102",14,"23",49
"103",14,"24",67
"104",14,"25",78
"105",14,"26",63
"106",14,"27",61
"107",14,"28",44
"108",14,"29",68
"109",14,"30",99
"110",14,"31",51
"111",14,"32",81
"112",14,"33",46
"113",14,"34",53
"114",14,"35",62
"115",14,"36",67
"116",14,"37",43
"117",14,"38",66
"118",14,"39",49
"119",14,"40",85
"120",14,"41",32
"121",14,"42",74
"122",14,"43",47
"123",14,"44",21
"124",14,"45",76
"125",14,"46",27
"126",14,"47",47
"127",14,"48",47
"128",14,"49",26
"129",14,"50",47
"130",14,"51",20
"131",14,"52",28
"132",14,"53",23
"133",14,"54",22
"134",14,"55",35
"135",14,"56",15
"136",14,"57",29
"137",14,"58",21
"138",14,"59",14
"139",14,"60",27
"140",14,"61",10
"141",14,"62",8
"142",14,"63",6
"143",14,"64",7
"144",14,"65",9
"145",14,"66",4
"146",14,"67",9
"147",14,"68",6
"148",14,"69",4
"149",14,"70",6
"150",14,"71",2
"151",14,"72",2
"152",14,"73",1
"153",14,"74",1
"154",14,"75",2
"155",14,"78",2
"156",14,"81",1
"157",14,"83",1
"158",14,"84",1
"159",14,"85",1
"160",14,"87",1
"161",15,"0",1
"162",15,"0.1",2
"163",15,"0.2",2
"164",15,"1",12
"165",15,"2",11
"166",15,"2.5",1
"167",15,"3",15
"168",15,"3.5",1
"169",15,"4",9
"170",15,"5",15
"171",15,"6",18
"172",15,"7",14
"173",15,"8",16
"174",15,"9",10
"175",15,"10",24
"176",15,"11",23
"177",15,"12",21
"178",15,"13",28
"179",15,"14",27
"180",15,"15",25
"181",15,"16",31
"182",15,"17",37
"183",15,"18",71
"184",15,"19",46
"185",15,"20",73
"186",15,"21",59
"187",15,"22",61
"188",15,"23",73
"189",15,"24",87
"190",15,"25",97
"191",15,"26",84
"192",15,"27",94
"193",15,"28",90
"194",15,"29",57
"195",15,"30",119
"196",15,"31",59
"197",15,"32",99
"198",15,"33",64
"199",15,"34",79
"200",15,"35",93
"201",15,"36",71
"202",15,"37",49
"203",15,"38",82
"204",15,"39",65
"205",15,"40",91
"206",15,"41",31
"207",15,"42",64
"208",15,"43",43
"209",15,"44",40
"210",15,"45",81
"211",15,"46",49
"212",15,"47",49
"213",15,"48",58
"214",15,"49",44
"215",15,"50",65
"216",15,"51",34
"217",15,"52",57
"218",15,"53",38
"219",15,"54",30
"220",15,"55",53
"221",15,"56",36
"222",15,"57",25
"223",15,"58",31
"224",15,"59",14
"225",15,"60",51
"226",15,"61",18
"227",15,"62",18
"228",15,"63",19
"229",15,"64",6
"230",15,"65",25
"231",15,"66",9
"232",15,"67",11
"233",15,"68",14
"234",15,"69",7
"235",15,"70",15
"236",15,"71",5
"237",15,"72",10
"238",15,"73",4
"239",15,"74",8
"240",15,"75",7
"241",15,"76",3
"242",15,"77",3
"243",15,"78",3
"244",15,"79",2
"245",15,"80",6
"246",15,"81",3
"247",15,"82",4
"248",15,"83",2
"249",15,"84",3
"250",15,"85",2
"251",15,"86",3
"252",15,"88",1
"253",15,"89",1
"254",16,"0.1",1
"255",16,"0.25",1
"256",16,"0.9",1
"257",16,"1",23
"258",16,"1.5",3
"259",16,"2",24
"260",16,"2.5",1
"261",16,"3",20
"262",16,"4",20
"263",16,"5",19
"264",16,"6",19
"265",16,"7",28
"266",16,"8",19
"267",16,"9",24
"268",16,"10",32
"269",16,"11",20
"270",16,"12",26
"271",16,"13",38
"272",16,"14",34
"273",16,"15",27
"274",16,"16",32
"275",16,"17",52
"276",16,"18",91
"277",16,"19",68
"278",16,"20",97
"279",16,"21",75
"280",16,"22",108
"281",16,"23",118
"282",16,"24",131
"283",16,"25",141
"284",16,"26",110
"285",16,"27",114
"286",16,"28",122
"287",16,"29",103
"288",16,"30",176
"289",16,"31",94
"290",16,"32",123
"291",16,"33",82
"292",16,"34",91
"293",16,"35",121
"294",16,"36",97
"295",16,"37",66
"296",16,"38",96
"297",16,"39",80
"298",16,"40",125
