"","week","age_group","num"
"1",13,"16",1
"2",13,"20",1
"3",13,"24",1
"4",13,"27",1
"5",13,"39",1
"6",13,"40",1
"7",13,"43",1
"8",13,"44",1
"9",13,"45",1
"10",13,"50",1
"11",13,"52",1
"12",13,"54",3
"13",13,"55",1
"14",13,"56",1
"15",13,"57",1
"16",13,"60",5
"17",13,"62",4
"18",13,"63",2
"19",13,"64",1
"20",13,"66",1
"21",13,"67",4
"22",13,"69",1
"23",13,"70",4
"24",13,"75",4
"25",13,"76",1
"26",13,"80",2
"27",14,"27",1
"28",14,"45",2
"29",14,"48",2
"30",14,"50",2
"31",14,"55",1
"32",14,"56",2
"33",14,"58",1
"34",14,"60",2
"35",14,"62",1
"36",14,"65",2
"37",14,"67",1
"38",14,"70",1
"39",14,"73",1
"40",14,"78",1
"41",14,"82",1
"42",14,"90",1
"43",15,"32",1
"44",15,"36",1
"45",15,"43",1
"46",15,"45",1
"47",15,"53",1
"48",15,"55",1
"49",15,"56",1
"50",15,"57",1
"51",15,"58",2
"52",15,"65",1
"53",15,"66",1
"54",15,"67",1
"55",15,"80",1
"56",16,"44",2
"57",16,"45",1
"58",16,"53",1
"59",16,"58",1
"60",16,"65",1
"61",16,"70",2
"62",16,"73",1
"63",16,"75",2
"64",17,"0",1
"65",17,"45",1
"66",17,"53",1
"67",17,"54",1
"68",17,"55",2
"69",17,"58",1
"70",17,"60",2
"71",17,"62",1
"72",17,"63",1
"73",17,"65",1
"74",17,"66",1
"75",17,"69",1
"76",17,"70",2
"77",17,"74",1
"78",17,"75",1
"79",17,"78",1
"80",18,"39",1
"81",18,"50",1
"82",18,"55",5
"83",18,"56",1
"84",18,"60",2
"85",18,"62",1
"86",18,"63",1
"87",18,"65",1
"88",18,"70",1
"89",18,"71",1
"90",18,"73",1
"91",18,"80",3
"92",18,"82",1
"93",18,"83",1
"94",19,"17",1
"95",19,"20",1
"96",19,"25",1
"97",19,"28",1
"98",19,"38",1
"99",19,"48",1
"100",19,"49",1
"101",19,"51",1
"102",19,"55",3
"103",19,"58",1
"104",19,"61",3
"105",19,"62",1
"106",19,"63",1
"107",19,"64",1
"108",19,"65",2
"109",19,"69",2
"110",19,"70",2
"111",19,"83",1
"112",19,"87",1
"113",19,"89",1
"114",20,"39",1
"115",20,"40",1
"116",20,"50",1
"117",20,"51",1
"118",20,"56",2
"119",20,"57",1
"120",20,"60",1
"121",20,"65",3
"122",20,"66",4
"123",20,"70",1
"124",20,"72",1
"125",20,"74",1
"126",20,"75",1
"127",20,"85",1
"128",20,"86",1
"129",21,"35",1
"130",21,"38",1
"131",21,"43",1
"132",21,"47",1
"133",21,"50",1
"134",21,"53",1
"135",21,"54",1
"136",21,"59",1
"137",21,"60",2
"138",21,"63",1
"139",21,"65",1
"140",21,"66",1
"141",21,"68",1
"142",21,"70",1
"143",21,"73",1
"144",21,"74",1
"145",21,"75",1
"146",21,"80",1
"147",21,"85",3
"148",21,"95",1
"149",22,"22",1
"150",22,"24",1
"151",22,"25",1
"152",22,"31",1
"153",22,"39",1
"154",22,"42",2
"155",22,"45",1
"156",22,"46",1
"157",22,"48",2
"158",22,"49",1
"159",22,"50",4
"160",22,"51",1
"161",22,"52",1
"162",22,"55",1
"163",22,"58",2
"164",22,"60",6
"165",22,"63",2
"166",22,"64",1
"167",22,"65",2
"168",22,"66",3
"169",22,"68",2
"170",22,"70",4
"171",22,"71",1
"172",22,"72",1
"173",22,"73",1
"174",22,"74",1
"175",22,"75",3
"176",22,"76",1
"177",22,"78",1
"178",22,"80",2
"179",22,"85",1
"180",22,"93",1
"181",23,"12",1
"182",23,"19",1
"183",23,"25",1
"184",23,"26",1
"185",23,"31",1
"186",23,"32",2
"187",23,"38",1
"188",23,"40",1
"189",23,"44",1
"190",23,"45",3
"191",23,"46",1
"192",23,"48",3
"193",23,"49",1
"194",23,"50",6
"195",23,"51",2
"196",23,"52",1
"197",23,"54",1
"198",23,"55",6
"199",23,"56",3
"200",23,"57",2
"201",23,"58",8
"202",23,"59",3
"203",23,"60",7
"204",23,"61",1
"205",23,"62",2
"206",23,"63",1
"207",23,"64",1
"208",23,"65",7
"209",23,"67",2
"210",23,"68",2
"211",23,"69",1
"212",23,"70",5
"213",23,"71",1
"214",23,"73",1
"215",23,"75",1
"216",23,"76",1
"217",23,"78",2
"218",23,"80",1
"219",23,"85",1
"220",23,"88",1
"221",23,"90",2
"222",24,"17",1
"223",24,"20",2
"224",24,"23",4
"225",24,"27",1
"226",24,"29",1
"227",24,"30",1
"228",24,"32",1
"229",24,"33",1
"230",24,"34",1
"231",24,"35",3
"232",24,"36",3
"233",24,"37",2
"234",24,"38",3
"235",24,"40",6
"236",24,"42",5
"237",24,"43",2
"238",24,"45",11
"239",24,"46",2
"240",24,"47",3
"241",24,"48",8
"242",24,"49",4
"243",24,"50",12
"244",24,"51",3
"245",24,"52",6
"246",24,"53",1
"247",24,"54",2
"248",24,"55",20
"249",24,"56",3
"250",24,"57",1
"251",24,"58",7
"252",24,"59",3
"253",24,"60",14
"254",24,"61",3
"255",24,"62",6
"256",24,"63",1
"257",24,"64",1
"258",24,"65",7
"259",24,"66",3
"260",24,"67",3
"261",24,"68",5
"262",24,"69",1
"263",24,"70",10
"264",24,"71",1
"265",24,"72",4
"266",24,"73",2
"267",24,"74",1
"268",24,"75",12
"269",24,"76",4
"270",24,"78",1
"271",24,"80",7
"272",24,"81",1
"273",24,"82",1
"274",24,"83",1
"275",24,"85",3
"276",24,"86",2
"277",24,"87",1
"278",24,"90",2
"279",24,"92",1
"280",25,"14",1
"281",25,"20",1
"282",25,"21",1
"283",25,"22",1
"284",25,"25",1
"285",25,"26",3
"286",25,"28",2
"287",25,"30",3
"288",25,"34",1
"289",25,"35",2
"290",25,"36",1
"291",25,"37",1
"292",25,"38",2
"293",25,"39",2
"294",25,"40",4
"295",25,"42",2
"296",25,"43",1
"297",25,"44",2
"298",25,"45",3
"299",25,"46",5
"300",25,"47",3
"301",25,"48",5
"302",25,"49",3
"303",25,"50",10
"304",25,"51",6
"305",25,"52",8
"306",25,"53",2
"307",25,"54",4
"308",25,"55",11
"309",25,"56",5
"310",25,"57",5
"311",25,"58",7
"312",25,"59",7
"313",25,"60",10
"314",25,"61",2
"315",25,"63",4
"316",25,"64",3
"317",25,"65",16
"318",25,"66",2
"319",25,"67",2
"320",25,"68",5
"321",25,"69",2
"322",25,"70",16
"323",25,"71",3
"324",25,"72",2
"325",25,"73",1
"326",25,"74",2
"327",25,"75",4
"328",25,"76",3
"329",25,"77",1
"330",25,"78",3
"331",25,"79",3
"332",25,"80",7
"333",25,"81",1
"334",25,"83",1
"335",25,"84",1
"336",25,"85",2
"337",25,"86",2
"338",25,"87",1
"339",25,"88",1
"340",25,"91",1
"341",25,"94",1
"342",26,"10",1
"343",26,"16",1
"344",26,"23",1
"345",26,"31",1
"346",26,"38",3
"347",26,"40",2
"348",26,"41",1
"349",26,"45",2
"350",26,"47",1
"351",26,"48",1
"352",26,"49",1
"353",26,"50",4
"354",26,"51",2
"355",26,"52",1
"356",26,"53",1
"357",26,"55",4
"358",26,"56",1
"359",26,"58",4
"360",26,"59",4
"361",26,"60",7
"362",26,"61",2
"363",26,"62",3
"364",26,"63",2
"365",26,"64",2
"366",26,"65",10
"367",26,"66",2
"368",26,"68",1
"369",26,"70",4
"370",26,"71",2
"371",26,"72",2
"372",26,"74",2
"373",26,"75",5
"374",26,"76",2
"375",26,"78",2
"376",26,"80",1
"377",26,"81",1
