"","week","age_group","num"
"1",13,"16",1
"2",13,"20",1
"3",13,"24",1
"4",13,"27",1
"5",13,"39",1
"6",13,"40",1
"7",13,"43",1
"8",13,"44",1
"9",13,"45",1
"10",13,"50",1
"11",13,"52",1
"12",13,"54",3
"13",13,"55",1
"14",13,"56",1
"15",13,"57",1
"16",13,"60",5
"17",13,"62",4
"18",13,"63",2
"19",13,"64",1
"20",13,"66",1
"21",13,"67",4
"22",13,"69",1
"23",13,"70",4
"24",13,"75",4
"25",13,"76",1
"26",13,"80",2
"27",14,"27",1
"28",14,"45",2
"29",14,"48",2
"30",14,"50",2
"31",14,"55",1
"32",14,"56",2
"33",14,"58",1
"34",14,"60",2
"35",14,"62",1
"36",14,"65",2
"37",14,"67",1
"38",14,"70",1
"39",14,"73",1
"40",14,"78",1
"41",14,"82",1
"42",14,"90",1
