"","week","age_group","num"
"1",13,"1",1
"2",13,"20",1
"3",13,"21",1
"4",13,"28",1
"5",13,"34",1
"6",13,"35",2
"7",13,"38",1
"8",13,"40",1
"9",13,"42",2
"10",13,"45",5
"11",13,"46",2
"12",13,"47",2
"13",13,"48",2
"14",13,"50",1
"15",13,"53",1
"16",13,"54",5
"17",13,"55",3
"18",13,"56",2
"19",13,"57",1
"20",13,"58",2
"21",13,"60",5
"22",13,"61",1
"23",13,"62",4
"24",13,"63",3
"25",13,"64",1
"26",13,"65",7
"27",13,"66",3
"28",13,"67",3
"29",13,"68",3
"30",13,"69",6
"31",13,"70",1
"32",13,"71",1
"33",13,"72",1
"34",13,"73",1
"35",13,"74",2
"36",13,"76",3
"37",13,"78",1
"38",13,"79",1
"39",13,"80",3
"40",13,"82",2
"41",13,"98",1
"42",14,"1",1
"43",14,"21",1
"44",14,"31",1
"45",14,"36",2
"46",14,"38",1
"47",14,"44",1
"48",14,"45",1
"49",14,"49",1
"50",14,"50",2
"51",14,"51",1
"52",14,"54",2
"53",14,"55",2
"54",14,"56",2
"55",14,"57",1
"56",14,"58",1
"57",14,"59",1
"58",14,"65",2
"59",14,"68",2
"60",14,"69",2
"61",14,"70",2
"62",14,"73",1
"63",14,"77",1
"64",14,"78",1
"65",14,"80",1
"66",15,"32",1
"67",15,"34",1
"68",15,"41",1
"69",15,"43",2
"70",15,"48",1
"71",15,"50",1
"72",15,"52",1
"73",15,"55",3
"74",15,"57",1
"75",15,"59",1
"76",15,"60",3
"77",15,"61",2
"78",15,"62",1
"79",15,"64",1
"80",15,"65",2
"81",15,"68",1
"82",15,"69",1
"83",15,"70",1
"84",15,"74",1
"85",15,"75",1
"86",15,"78",1
"87",16,"40",1
"88",16,"43",1
"89",16,"47",1
"90",16,"50",1
"91",16,"52",1
"92",16,"53",1
"93",16,"54",3
"94",16,"60",2
"95",16,"61",1
"96",16,"62",1
"97",16,"63",1
"98",16,"64",1
"99",16,"65",1
"100",16,"67",1
"101",16,"68",1
"102",16,"70",1
"103",16,"71",1
"104",16,"72",1
"105",16,"80",1
"106",16,"82",1
"107",17,"1",2
"108",17,"32",1
"109",17,"36",1
"110",17,"39",1
"111",17,"42",1
"112",17,"44",1
"113",17,"46",1
"114",17,"47",1
"115",17,"50",1
"116",17,"51",1
"117",17,"52",2
"118",17,"53",1
"119",17,"54",1
"120",17,"57",2
"121",17,"58",1
"122",17,"59",1
"123",17,"60",1
"124",17,"62",4
"125",17,"63",1
"126",17,"64",1
"127",17,"65",3
"128",17,"68",4
"129",17,"72",2
"130",17,"75",1
"131",17,"76",1
"132",17,"77",1
"133",17,"78",1
"134",17,"79",1
"135",17,"80",1
"136",17,"85",1
"137",17,"86",1
"138",18,"3",1
"139",18,"30",1
"140",18,"31",1
"141",18,"37",1
"142",18,"39",1
"143",18,"44",1
"144",18,"49",1
"145",18,"50",2
"146",18,"52",1
"147",18,"55",1
"148",18,"56",1
"149",18,"57",1
"150",18,"58",1
"151",18,"61",1
"152",18,"62",2
"153",18,"63",1
"154",18,"64",1
"155",18,"66",1
"156",18,"67",1
"157",18,"69",1
"158",18,"70",3
"159",18,"71",1
"160",18,"72",1
"161",18,"73",2
"162",18,"74",2
"163",18,"75",1
"164",18,"77",1
"165",18,"78",3
"166",18,"80",1
"167",18,"90",1
"168",19,"22",1
"169",19,"23",1
"170",19,"26",1
"171",19,"32",1
"172",19,"35",1
"173",19,"41",1
"174",19,"44",1
"175",19,"46",1
"176",19,"47",1
"177",19,"48",3
"178",19,"49",2
"179",19,"50",3
"180",19,"51",1
"181",19,"52",2
"182",19,"53",1
"183",19,"54",1
"184",19,"55",4
"185",19,"56",2
"186",19,"57",2
"187",19,"58",2
"188",19,"60",2
"189",19,"62",3
"190",19,"65",3
"191",19,"66",1
"192",19,"67",1
"193",19,"68",2
"194",19,"69",1
"195",19,"70",4
"196",19,"71",3
"197",19,"72",3
"198",19,"73",2
"199",19,"74",2
"200",19,"75",1
"201",19,"79",1
"202",19,"80",1
"203",19,"81",1
"204",19,"83",1
"205",19,"87",1
"206",19,"92",1
"207",20,"18",1
"208",20,"24",1
"209",20,"26",1
"210",20,"28",1
"211",20,"31",1
"212",20,"39",2
"213",20,"45",1
"214",20,"46",1
"215",20,"48",1
"216",20,"49",1
"217",20,"50",4
"218",20,"54",2
"219",20,"55",1
"220",20,"56",1
"221",20,"57",1
"222",20,"58",2
"223",20,"60",3
"224",20,"61",1
"225",20,"62",1
"226",20,"64",1
"227",20,"65",2
"228",20,"68",1
"229",20,"69",1
"230",20,"70",1
"231",20,"72",2
"232",20,"76",1
"233",20,"78",1
"234",20,"90",2
"235",21,"17",2
"236",21,"28",1
"237",21,"29",1
