"","week","age_group","num"
"1",13,"1",1
"2",13,"20",1
"3",13,"21",1
"4",13,"28",1
"5",13,"34",1
"6",13,"35",2
"7",13,"38",1
"8",13,"40",1
"9",13,"42",2
"10",13,"45",5
"11",13,"46",2
"12",13,"47",2
"13",13,"48",2
"14",13,"50",1
"15",13,"53",1
"16",13,"54",5
"17",13,"55",3
"18",13,"56",2
"19",13,"57",1
"20",13,"58",2
"21",13,"60",5
"22",13,"61",1
"23",13,"62",4
"24",13,"63",3
"25",13,"64",1
"26",13,"65",7
"27",13,"66",3
"28",13,"67",3
"29",13,"68",3
"30",13,"69",6
"31",13,"70",1
"32",13,"71",1
"33",13,"72",1
"34",13,"73",1
"35",13,"74",2
"36",13,"76",3
"37",13,"78",1
"38",13,"79",1
"39",13,"80",3
"40",13,"82",2
"41",13,"98",1
"42",14,"1",1
"43",14,"21",1
"44",14,"31",1
"45",14,"36",2
"46",14,"38",1
"47",14,"44",1
"48",14,"45",1
"49",14,"49",1
"50",14,"50",2
"51",14,"51",1
"52",14,"54",2
"53",14,"55",2
"54",14,"56",2
"55",14,"57",1
"56",14,"58",1
"57",14,"59",1
"58",14,"65",2
"59",14,"68",2
"60",14,"69",2
"61",14,"70",2
"62",14,"73",1
"63",14,"77",1
"64",14,"78",1
"65",14,"80",1
