"","week","age_group","num"
"1",0,"1",6
"2",0,"2",4
"3",0,"3",4
"4",0,"4",4
"5",0,"5",1
"6",0,"6",4
"7",0,"7",1
"8",0,"8",1
"9",0,"9",0
"10",0,"10",1
"11",0,"12",0
"12",0,"13",3
"13",0,"16",1
"14",0,"19",0
"15",0,"21",0
"16",0,"22",2
"17",0,"24",1
"18",0,"25",1
"19",0,"26",0
"20",0,"27",0
"21",0,"28",1
"22",0,"29",1
"23",0,"30",0
"24",0,"31",2
"25",0,"32",0
"26",0,"33",0
"27",0,"34",1
"28",0,"35",2
"29",0,"36",1
"30",0,"37",0
"31",0,"39",1
"32",0,"40",1
"33",0,"43",0
"34",0,"44",0
"35",0,"45",3
"36",0,"46",2
"37",0,"48",1
"38",0,"49",1
"39",0,"50",1
"40",0,"51",0
"41",0,"52",4
"42",0,"53",1
"43",0,"54",1
"44",0,"55",1
"45",0,"56",1
"46",0,"59",0
"47",0,"61",0
"48",0,"62",1
"49",0,"64",1
"50",0,"65",1
"51",0,"66",1
"52",0,"67",1
"53",0,"70",1
"54",0,"71",0
"55",0,"73",0
"56",0,"75",0
"57",0,"76",1
"58",0,"81",1
"59",0,"89",0
"60",0,"96",1
"61",1,"1",6
"62",1,"2",5
"63",1,"3",4
"64",1,"4",3
"65",1,"5",4
"66",1,"6",4
"67",1,"7",2
"68",1,"8",3
"69",1,"9",4
"70",1,"10",2
"71",1,"12",0
"72",1,"13",0
"73",1,"14",2
"74",1,"19",0
"75",1,"20",1
"76",1,"21",0
"77",1,"22",1
"78",1,"23",1
"79",1,"24",0
"80",1,"25",2
"81",1,"26",1
"82",1,"27",4
"83",1,"28",5
"84",1,"29",4
"85",1,"30",0
"86",1,"31",2
"87",1,"32",1
"88",1,"33",3
"89",1,"34",1
"90",1,"35",4
"91",1,"36",1
"92",1,"37",3
"93",1,"38",1
"94",1,"39",2
"95",1,"40",1
"96",1,"41",1
"97",1,"42",0
"98",1,"43",4
"99",1,"44",0
"100",1,"45",1
"101",1,"46",1
"102",1,"47",0
"103",1,"48",0
"104",1,"49",1
"105",1,"50",4
"106",1,"51",0
"107",1,"52",0
"108",1,"53",2
"109",1,"54",2
"110",1,"55",1
"111",1,"56",1
"112",1,"58",2
"113",1,"60",4
"114",1,"61",1
"115",1,"62",1
"116",1,"63",1
"117",1,"64",1
"118",1,"65",1
"119",1,"67",0
"120",1,"68",2
"121",1,"70",1
"122",1,"71",0
"123",1,"73",1
"124",1,"74",1
"125",1,"75",0
"126",1,"77",1
"127",1,"82",0
"128",1,"85",0
"129",1,"86",0
"130",2,"1",6
"131",2,"2",6
"132",2,"3",3
"133",2,"4",2
"134",2,"5",9
"135",2,"6",3
"136",2,"7",5
"137",2,"8",5
"138",2,"9",4
"139",2,"10",2
"140",2,"11",4
"141",2,"12",4
"142",2,"13",3
"143",2,"14",4
"144",2,"15",0
"145",2,"16",0
"146",2,"17",1
"147",2,"18",0
"148",2,"20",0
"149",2,"22",2
"150",2,"23",2
"151",2,"24",2
"152",2,"25",2
"153",2,"26",0
"154",2,"27",2
"155",2,"28",3
"156",2,"29",3
"157",2,"30",2
"158",2,"31",5
"159",2,"32",1
"160",2,"33",2
"161",2,"34",4
"162",2,"35",1
"163",2,"36",1
"164",2,"37",0
"165",2,"38",4
"166",2,"39",1
"167",2,"40",2
"168",2,"41",2
"169",2,"42",2
"170",2,"43",1
"171",2,"44",0
"172",2,"45",3
"173",2,"46",0
"174",2,"47",2
"175",2,"48",2
"176",2,"50",3
"177",2,"51",1
"178",2,"52",3
"179",2,"53",1
"180",2,"54",5
"181",2,"55",2
"182",2,"56",2
"183",2,"57",1
"184",2,"58",2
"185",2,"59",2
"186",2,"60",0
"187",2,"62",1
"188",2,"63",0
"189",2,"65",1
"190",2,"66",0
"191",2,"67",0
"192",2,"68",1
"193",2,"70",1
"194",2,"73",1
"195",2,"74",1
"196",2,"75",0
"197",2,"77",2
"198",2,"79",1
"199",2,"80",1
"200",2,"81",0
"201",2,"84",0
"202",2,"85",0
"203",2,"86",0
"204",2,"87",2
"205",2,"88",2
"206",2,"89",1
"207",2,"90",1
"208",2,"91",1
"209",2,"95",0
"210",3,"1",7
"211",3,"2",3
"212",3,"3",4
"213",3,"4",5
"214",3,"5",3
"215",3,"6",2
"216",3,"7",1
"217",3,"8",7
"218",3,"9",6
"219",3,"10",4
"220",3,"11",1
"221",3,"12",2
"222",3,"13",2
"223",3,"14",1
"224",3,"15",4
"225",3,"16",1
"226",3,"18",1
"227",3,"20",1
"228",3,"21",2
"229",3,"22",0
"230",3,"23",1
"231",3,"24",2
"232",3,"25",1
"233",3,"26",3
"234",3,"27",3
"235",3,"28",3
"236",3,"29",1
"237",3,"30",2
"238",3,"31",1
"239",3,"32",0
"240",3,"33",0
"241",3,"34",1
"242",3,"35",2
"243",3,"36",0
"244",3,"38",0
"245",3,"39",0
"246",3,"40",2
"247",3,"41",2
"248",3,"42",3
"249",3,"43",1
"250",3,"44",0
"251",3,"45",0
"252",3,"46",2
"253",3,"47",3
"254",3,"48",2
"255",3,"49",0
"256",3,"50",1
"257",3,"51",1
"258",3,"52",0
"259",3,"53",2
"260",3,"54",1
"261",3,"55",1
"262",3,"56",1
"263",3,"57",1
"264",3,"58",2
"265",3,"59",1
"266",3,"60",0
"267",3,"61",0
"268",3,"62",2
"269",3,"63",1
"270",3,"64",1
"271",3,"65",0
"272",3,"66",1
"273",3,"67",0
"274",3,"68",1
"275",3,"69",0
"276",3,"70",1
"277",3,"72",0
"278",3,"75",2
"279",3,"78",1
"280",3,"79",1
"281",3,"80",1
"282",3,"81",0
"283",3,"82",1
"284",3,"86",0
"285",3,"93",0
"286",4,"0",1
"287",4,"1",5
"288",4,"2",2
"289",4,"3",6
"290",4,"4",0
"291",4,"5",0
"292",4,"6",1
"293",4,"7",2
"294",4,"8",2
"295",4,"9",2
"296",4,"10",0
"297",4,"11",2
"298",4,"12",1
"299",4,"13",1
"300",4,"14",1
"301",4,"15",1
"302",4,"18",0
"303",4,"19",1
"304",4,"20",0
"305",4,"21",0
"306",4,"22",0
"307",4,"23",4
"308",4,"24",1
"309",4,"25",1
"310",4,"26",3
"311",4,"27",4
"312",4,"28",2
"313",4,"29",0
"314",4,"30",2
"315",4,"31",2
"316",4,"32",4
"317",4,"34",0
"318",4,"35",0
"319",4,"36",1
"320",4,"37",0
"321",4,"38",2
"322",4,"39",1
"323",4,"40",2
"324",4,"41",0
"325",4,"42",2
"326",4,"43",0
"327",4,"44",2
"328",4,"45",2
"329",4,"46",1
"330",4,"47",0
"331",4,"48",3
"332",4,"49",2
"333",4,"50",2
"334",4,"51",0
"335",4,"52",1
"336",4,"53",1
"337",4,"55",1
"338",4,"56",2
"339",4,"59",0
"340",4,"60",0
"341",4,"61",0
"342",4,"62",0
"343",4,"63",1
"344",4,"64",0
"345",4,"65",1
"346",4,"66",1
"347",4,"67",2
"348",4,"68",0
"349",4,"70",0
"350",4,"71",0
"351",4,"74",0
"352",4,"77",1
"353",4,"78",2
"354",4,"79",1
"355",4,"82",2
"356",4,"84",1
"357",4,"86",1
"358",4,"88",0
"359",5,"1",5
"360",5,"2",7
"361",5,"3",2
"362",5,"4",2
"363",5,"5",6
"364",5,"6",0
"365",5,"7",4
"366",5,"8",2
"367",5,"9",3
"368",5,"10",1
"369",5,"11",3
"370",5,"12",1
"371",5,"13",1
"372",5,"14",2
"373",5,"15",0
"374",5,"17",0
"375",5,"18",1
"376",5,"19",2
"377",5,"21",1
"378",5,"22",0
"379",5,"23",2
"380",5,"24",1
"381",5,"25",4
"382",5,"26",1
"383",5,"27",1
"384",5,"28",4
"385",5,"29",2
"386",5,"30",1
"387",5,"31",1
"388",5,"32",4
"389",5,"33",3
"390",5,"34",3
"391",5,"35",1
"392",5,"36",1
"393",5,"37",1
"394",5,"38",4
"395",5,"39",2
"396",5,"40",5
"397",5,"41",1
"398",5,"42",2
"399",5,"43",1
"400",5,"45",1
"401",5,"46",2
"402",5,"47",0
"403",5,"48",0
"404",5,"49",1
"405",5,"50",1
"406",5,"51",1
"407",5,"52",2
"408",5,"53",0
"409",5,"54",1
"410",5,"55",1
"411",5,"56",2
"412",5,"57",1
"413",5,"58",1
"414",5,"60",2
"415",5,"61",1
"416",5,"62",1
"417",5,"63",0
"418",5,"65",1
"419",5,"66",1
"420",5,"67",1
"421",5,"68",0
"422",5,"69",1
"423",5,"70",2
"424",5,"71",1
"425",5,"72",2
"426",5,"74",0
"427",5,"76",1
"428",5,"77",1
"429",5,"78",2
"430",5,"80",0
"431",5,"84",1
"432",5,"87",1
"433",5,"93",2
"434",5,"94",1
"435",5,"97",1
"436",5,"99",1
"437",6,"0",0
"438",6,"1",2
"439",6,"2",2
"440",6,"3",2
"441",6,"4",3
"442",6,"5",2
"443",6,"6",0
"444",6,"7",1
"445",6,"8",1
"446",6,"10",1
"447",6,"11",1
"448",6,"12",0
"449",6,"13",0
"450",6,"14",1
"451",6,"16",0
"452",6,"17",1
"453",6,"18",1
"454",6,"20",1
"455",6,"21",1
"456",6,"22",1
"457",6,"23",3
"458",6,"24",0
"459",6,"25",4
"460",6,"26",1
"461",6,"27",3
"462",6,"28",0
"463",6,"29",1
"464",6,"30",2
"465",6,"31",0
"466",6,"32",3
"467",6,"33",5
"468",6,"34",3
"469",6,"35",5
"470",6,"36",2
"471",6,"37",2
"472",6,"38",3
"473",6,"39",1
"474",6,"40",0
"475",6,"41",0
"476",6,"42",3
"477",6,"43",1
"478",6,"45",1
"479",6,"46",4
"480",6,"47",0
"481",6,"48",1
"482",6,"49",3
"483",6,"50",0
"484",6,"51",2
"485",6,"52",1
"486",6,"53",0
"487",6,"54",1
"488",6,"55",1
"489",6,"56",1
"490",6,"59",0
"491",6,"61",0
"492",6,"62",2
"493",6,"63",0
"494",6,"64",0
"495",6,"65",0
"496",6,"66",0
"497",6,"68",0
"498",6,"70",0
"499",6,"71",0
"500",6,"72",0
"501",6,"73",0
"502",6,"74",1
"503",6,"75",1
"504",6,"76",1
"505",6,"78",0
"506",6,"80",1
"507",6,"86",1
"508",6,"89",0
"509",7,"0",1
"510",7,"1",3
"511",7,"2",2
"512",7,"3",3
"513",7,"4",1
"514",7,"5",1
"515",7,"6",1
"516",7,"7",0
"517",7,"8",0
"518",7,"10",2
"519",7,"11",1
"520",7,"12",2
"521",7,"13",3
"522",7,"14",2
"523",7,"15",1
"524",7,"16",0
"525",7,"19",0
"526",7,"20",0
"527",7,"21",0
"528",7,"22",2
"529",7,"23",1
"530",7,"24",3
"531",7,"25",2
"532",7,"26",2
"533",7,"27",2
"534",7,"28",2
"535",7,"29",4
"536",7,"30",2
"537",7,"31",2
"538",7,"32",3
"539",7,"33",1
"540",7,"34",3
"541",7,"35",2
"542",7,"36",8
"543",7,"37",2
"544",7,"38",4
"545",7,"39",2
"546",7,"40",3
"547",7,"41",2
"548",7,"42",2
"549",7,"43",1
"550",7,"44",0
"551",7,"45",2
"552",7,"46",0
"553",7,"47",3
"554",7,"48",0
"555",7,"49",0
"556",7,"50",1
"557",7,"51",1
"558",7,"52",0
"559",7,"53",0
"560",7,"54",0
"561",7,"56",1
"562",7,"58",2
"563",7,"59",3
"564",7,"60",0
"565",7,"62",1
"566",7,"65",0
"567",7,"68",1
"568",7,"69",0
"569",7,"70",0
"570",7,"71",0
"571",7,"72",1
"572",7,"73",2
"573",7,"74",0
"574",7,"75",0
"575",7,"76",1
"576",7,"77",0
"577",7,"78",1
"578",7,"80",0
"579",7,"84",1
"580",7,"85",0
"581",8,"1",5
"582",8,"2",6
"583",8,"3",3
"584",8,"4",3
"585",8,"5",3
"586",8,"6",2
"587",8,"7",0
"588",8,"8",6
"589",8,"9",3
"590",8,"11",1
"591",8,"12",1
"592",8,"13",2
"593",8,"14",1
"594",8,"15",2
"595",8,"16",3
"596",8,"17",1
"597",8,"18",1
"598",8,"19",2
"599",8,"20",2
"600",8,"21",3
"601",8,"22",2
"602",8,"23",5
"603",8,"24",7
"604",8,"25",5
"605",8,"26",5
"606",8,"27",8
"607",8,"28",6
"608",8,"29",12
"609",8,"30",8
"610",8,"31",8
"611",8,"32",7
"612",8,"33",6
"613",8,"34",5
"614",8,"35",4
"615",8,"36",9
"616",8,"37",3
"617",8,"38",2
"618",8,"39",4
"619",8,"40",5
"620",8,"41",2
"621",8,"42",4
"622",8,"43",6
"623",8,"44",2
"624",8,"45",2
"625",8,"46",5
"626",8,"47",2
"627",8,"48",4
"628",8,"49",2
"629",8,"50",2
"630",8,"51",1
"631",8,"52",3
"632",8,"53",3
"633",8,"54",2
"634",8,"55",1
"635",8,"56",2
"636",8,"57",4
"637",8,"58",2
"638",8,"59",1
"639",8,"60",4
"640",8,"61",1
"641",8,"62",1
"642",8,"63",1
"643",8,"64",0
"644",8,"65",0
"645",8,"66",1
"646",8,"67",2
"647",8,"68",0
"648",8,"69",1
"649",8,"70",1
"650",8,"71",1
"651",8,"72",1
"652",8,"75",0
"653",8,"76",0
"654",8,"78",1
"655",8,"81",0
"656",8,"83",0
"657",8,"85",0
"658",8,"86",0
"659",8,"90",1
"660",8,"92",0
"661",8,"97",0
"662",9,"0",1
"663",9,"1",5
"664",9,"2",1
"665",9,"3",2
"666",9,"4",1
"667",9,"5",1
"668",9,"6",6
"669",9,"7",1
"670",9,"8",1
"671",9,"9",4
"672",9,"10",1
"673",9,"11",2
"674",9,"12",4
"675",9,"13",2
"676",9,"14",2
"677",9,"15",6
"678",9,"16",5
"679",9,"17",6
"680",9,"18",6
"681",9,"19",4
"682",9,"20",2
"683",9,"21",7
"684",9,"22",9
"685",9,"23",10
"686",9,"24",8
"687",9,"25",11
"688",9,"26",12
"689",9,"27",11
"690",9,"28",17
"691",9,"29",10
"692",9,"30",21
"693",9,"31",19
"694",9,"32",19
"695",9,"33",15
"696",9,"34",20
"697",9,"35",15
"698",9,"36",15
"699",9,"37",13
"700",9,"38",7
"701",9,"39",10
"702",9,"40",14
"703",9,"41",13
"704",9,"42",12
"705",9,"43",12
"706",9,"44",9
"707",9,"45",9
"708",9,"46",5
"709",9,"47",7
"710",9,"48",7
"711",9,"49",6
"712",9,"50",6
"713",9,"51",11
"714",9,"52",7
"715",9,"53",9
"716",9,"54",5
"717",9,"55",5
"718",9,"56",4
"719",9,"57",2
"720",9,"58",3
"721",9,"59",6
"722",9,"60",4
"723",9,"61",3
"724",9,"62",8
"725",9,"63",1
"726",9,"64",0
"727",9,"65",4
"728",9,"66",1
"729",9,"67",1
"730",9,"68",5
"731",9,"69",3
"732",9,"70",0
"733",9,"71",3
"734",9,"72",7
"735",9,"73",2
"736",9,"74",2
"737",9,"75",2
"738",9,"76",2
"739",9,"77",0
"740",9,"79",0
"741",9,"80",0
"742",9,"81",1
"743",9,"82",2
"744",9,"83",2
"745",9,"89",0
"746",9,"93",1
"747",9,"94",1
"748",10,"0",2
"749",10,"1",8
"750",10,"2",9
"751",10,"3",9
"752",10,"4",4
"753",10,"5",7
"754",10,"6",5
"755",10,"7",8
"756",10,"8",5
"757",10,"9",5
"758",10,"10",4
"759",10,"11",5
"760",10,"12",0
"761",10,"13",2
"762",10,"14",5
"763",10,"15",1
"764",10,"16",6
"765",10,"17",7
"766",10,"18",8
"767",10,"19",10
"768",10,"20",18
"769",10,"21",24
"770",10,"22",27
"771",10,"23",26
"772",10,"24",28
"773",10,"25",37
"774",10,"26",33
"775",10,"27",39
"776",10,"28",57
"777",10,"29",41
"778",10,"30",51
"779",10,"31",57
"780",10,"32",48
"781",10,"33",57
"782",10,"34",42
"783",10,"35",38
"784",10,"36",44
"785",10,"37",38
"786",10,"38",32
"787",10,"39",39
"788",10,"40",43
"789",10,"41",28
"790",10,"42",28
"791",10,"43",36
"792",10,"44",29
"793",10,"45",32
"794",10,"46",29
"795",10,"47",25
"796",10,"48",21
"797",10,"49",21
"798",10,"50",20
"799",10,"51",27
"800",10,"52",25
"801",10,"53",9
"802",10,"54",24
"803",10,"55",17
"804",10,"56",19
"805",10,"57",16
"806",10,"58",11
"807",10,"59",15
"808",10,"60",18
"809",10,"61",16
"810",10,"62",10
"811",10,"63",12
"812",10,"64",4
