"","week","age_group","num"
"1",0,"1",3
"2",0,"2",3
"3",0,"3",1
"4",0,"4",4
"5",0,"5",2
"6",0,"6",0
"7",0,"7",0
"8",0,"8",0
"9",0,"9",1
"10",0,"10",0
"11",0,"12",2
"12",0,"13",0
"13",0,"16",1
"14",0,"19",1
"15",0,"21",1
"16",0,"22",1
"17",0,"24",1
"18",0,"25",1
"19",0,"26",1
"20",0,"27",4
"21",0,"28",4
"22",0,"29",2
"23",0,"30",3
"24",0,"31",2
"25",0,"32",5
"26",0,"33",1
"27",0,"34",2
"28",0,"35",1
"29",0,"36",2
"30",0,"37",1
"31",0,"39",2
"32",0,"40",1
"33",0,"43",3
"34",0,"44",3
"35",0,"45",0
"36",0,"46",1
"37",0,"48",0
"38",0,"49",1
"39",0,"50",0
"40",0,"51",2
"41",0,"52",2
"42",0,"53",4
"43",0,"54",0
"44",0,"55",1
"45",0,"56",0
"46",0,"59",1
"47",0,"61",1
"48",0,"62",1
"49",0,"64",1
"50",0,"65",0
"51",0,"66",0
"52",0,"67",2
"53",0,"70",0
"54",0,"71",3
"55",0,"73",3
"56",0,"75",1
"57",0,"76",0
"58",0,"81",1
"59",0,"89",1
"60",0,"96",0
"61",1,"1",4
"62",1,"2",3
"63",1,"3",5
"64",1,"4",2
"65",1,"5",1
"66",1,"6",3
"67",1,"7",0
"68",1,"8",1
"69",1,"9",1
"70",1,"10",0
"71",1,"12",2
"72",1,"13",3
"73",1,"14",1
"74",1,"19",1
"75",1,"20",0
"76",1,"21",1
"77",1,"22",1
"78",1,"23",5
"79",1,"24",3
"80",1,"25",2
"81",1,"26",4
"82",1,"27",4
"83",1,"28",4
"84",1,"29",5
"85",1,"30",5
"86",1,"31",4
"87",1,"32",4
"88",1,"33",1
"89",1,"34",4
"90",1,"35",4
"91",1,"36",2
"92",1,"37",4
"93",1,"38",3
"94",1,"39",2
"95",1,"40",2
"96",1,"41",3
"97",1,"42",3
"98",1,"43",2
"99",1,"44",2
"100",1,"45",1
"101",1,"46",1
"102",1,"47",1
"103",1,"48",2
"104",1,"49",3
"105",1,"50",1
"106",1,"51",2
"107",1,"52",5
"108",1,"53",1
"109",1,"54",0
"110",1,"55",1
"111",1,"56",2
"112",1,"58",0
"113",1,"60",0
"114",1,"61",2
"115",1,"62",0
"116",1,"63",0
"117",1,"64",1
"118",1,"65",1
"119",1,"67",1
"120",1,"68",0
"121",1,"70",0
"122",1,"71",2
"123",1,"73",0
"124",1,"74",2
"125",1,"75",0
