"","week","age_group","num"
"1",-2,"7",0
"2",-2,"15",1
"3",-2,"25",0
"4",-2,"27",0
"5",-2,"29",0
"6",-2,"46",0
"7",-2,"51",0
"8",-2,"66",1
"9",-2,"74",1
"10",-2,"78",0
"11",-1,"0",0
"12",-1,"5",1
"13",-1,"8",0
"14",-1,"12",0
"15",-1,"13",0
"16",-1,"14",1
"17",-1,"15",1
"18",-1,"20",1
"19",-1,"21",2
"20",-1,"22",0
"21",-1,"23",0
"22",-1,"24",0
"23",-1,"25",2
"24",-1,"26",4
"25",-1,"27",6
"26",-1,"28",1
"27",-1,"29",3
"28",-1,"31",0
"29",-1,"32",2
"30",-1,"33",0
"31",-1,"34",0
"32",-1,"35",0
"33",-1,"36",0
"34",-1,"37",1
"35",-1,"38",1
"36",-1,"39",2
"37",-1,"40",1
"38",-1,"42",2
"39",-1,"43",0
"40",-1,"44",0
"41",-1,"45",1
"42",-1,"47",0
"43",-1,"48",0
"44",-1,"49",2
"45",-1,"51",1
"46",-1,"52",0
"47",-1,"53",2
"48",-1,"54",0
"49",-1,"55",1
"50",-1,"56",1
"51",-1,"57",0
"52",-1,"58",1
"53",-1,"59",1
"54",-1,"60",1
"55",-1,"61",0
"56",-1,"62",1
"57",-1,"63",2
"58",-1,"66",0
"59",-1,"69",1
"60",-1,"70",1
"61",-1,"71",0
"62",-1,"73",0
"63",-1,"74",1
"64",-1,"75",1
"65",-1,"76",1
"66",-1,"78",0
"67",-1,"88",1
"68",-1,"96",0
"69",0,"0",0
"70",0,"7",1
"71",0,"8",0
"72",0,"10",1
"73",0,"11",1
"74",0,"15",2
"75",0,"17",1
"76",0,"18",2
"77",0,"19",2
"78",0,"20",1
"79",0,"21",4
"80",0,"22",1
"81",0,"23",3
"82",0,"24",1
"83",0,"25",10
"84",0,"26",5
"85",0,"27",5
"86",0,"28",3
"87",0,"29",5
"88",0,"30",1
"89",0,"31",4
"90",0,"32",7
"91",0,"33",5
"92",0,"34",3
"93",0,"35",3
"94",0,"36",3
"95",0,"37",5
"96",0,"38",2
"97",0,"39",4
"98",0,"40",0
"99",0,"41",1
"100",0,"42",4
"101",0,"43",4
"102",0,"44",5
"103",0,"45",5
"104",0,"46",6
"105",0,"47",3
"106",0,"48",3
"107",0,"49",0
"108",0,"50",4
"109",0,"51",1
"110",0,"52",1
"111",0,"53",2
"112",0,"54",4
"113",0,"55",5
"114",0,"56",3
"115",0,"57",2
"116",0,"58",2
"117",0,"59",3
"118",0,"60",3
"119",0,"61",4
"120",0,"62",1
"121",0,"63",6
"122",0,"64",1
"123",0,"65",3
"124",0,"66",3
"125",0,"67",2
"126",0,"68",0
"127",0,"69",0
"128",0,"71",4
"129",0,"72",1
"130",0,"73",0
"131",0,"74",1
"132",0,"75",2
"133",0,"76",0
"134",0,"80",1
"135",0,"82",0
"136",0,"84",0
"137",0,"90",0
"138",1,"0",0
"139",1,"1",4
"140",1,"2",1
"141",1,"5",0
"142",1,"10",0
"143",1,"11",1
"144",1,"12",1
"145",1,"13",0
"146",1,"14",0
"147",1,"15",2
"148",1,"16",1
"149",1,"17",1
"150",1,"18",0
"151",1,"19",4
"152",1,"20",2
"153",1,"21",1
"154",1,"22",2
"155",1,"23",5
"156",1,"24",5
"157",1,"25",5
"158",1,"26",6
"159",1,"27",6
"160",1,"28",1
"161",1,"29",14
"162",1,"30",10
"163",1,"31",5
"164",1,"32",10
"165",1,"33",5
"166",1,"34",7
"167",1,"35",4
"168",1,"36",6
"169",1,"37",2
"170",1,"38",9
"171",1,"39",4
"172",1,"40",6
"173",1,"41",5
"174",1,"42",6
"175",1,"43",5
"176",1,"44",3
"177",1,"45",9
"178",1,"46",8
"179",1,"47",3
"180",1,"48",9
"181",1,"49",5
"182",1,"50",6
"183",1,"51",4
"184",1,"52",3
"185",1,"53",8
"186",1,"54",9
"187",1,"55",8
"188",1,"56",5
"189",1,"57",3
"190",1,"58",5
"191",1,"59",10
"192",1,"60",8
"193",1,"61",8
"194",1,"62",5
"195",1,"63",9
"196",1,"64",4
"197",1,"65",3
"198",1,"66",3
"199",1,"67",2
"200",1,"68",6
"201",1,"69",3
"202",1,"70",4
"203",1,"71",3
"204",1,"72",0
"205",1,"73",1
"206",1,"74",2
"207",1,"75",4
"208",1,"76",3
"209",1,"77",3
"210",1,"78",2
"211",1,"79",2
"212",1,"80",1
"213",1,"81",1
"214",1,"82",1
"215",1,"83",1
"216",1,"84",1
"217",1,"85",0
"218",1,"87",0
"219",1,"88",1
"220",1,"89",0
"221",1,"90",0
"222",1,"91",0
"223",1,"94",0
"224",1,"96",0
"225",2,"0",9
"226",2,"1",2
"227",2,"2",2
"228",2,"3",2
"229",2,"4",4
"230",2,"5",3
"231",2,"6",5
"232",2,"7",7
"233",2,"8",4
"234",2,"9",2
"235",2,"10",3
"236",2,"11",2
"237",2,"12",3
"238",2,"13",5
"239",2,"14",2
"240",2,"15",4
"241",2,"16",0
"242",2,"17",4
"243",2,"18",6
"244",2,"19",19
"245",2,"20",26
"246",2,"21",26
"247",2,"22",24
"248",2,"23",18
"249",2,"24",20
"250",2,"25",18
"251",2,"26",22
"252",2,"27",28
"253",2,"28",40
"254",2,"29",27
"255",2,"30",26
"256",2,"31",38
"257",2,"32",42
"258",2,"33",27
"259",2,"34",26
"260",2,"35",36
"261",2,"36",27
"262",2,"37",25
"263",2,"38",35
"264",2,"39",24
"265",2,"40",30
"266",2,"41",28
"267",2,"42",22
"268",2,"43",20
"269",2,"44",21
"270",2,"45",28
"271",2,"46",29
"272",2,"47",13
"273",2,"48",26
"274",2,"49",27
"275",2,"50",30
"276",2,"51",34
"277",2,"52",22
"278",2,"53",22
"279",2,"54",21
"280",2,"55",26
"281",2,"56",26
"282",2,"57",21
"283",2,"58",19
"284",2,"59",19
"285",2,"60",15
"286",2,"61",12
"287",2,"62",15
"288",2,"63",10
"289",2,"64",20
"290",2,"65",16
"291",2,"66",10
"292",2,"67",12
"293",2,"68",13
"294",2,"69",8
"295",2,"70",5
"296",2,"71",9
"297",2,"72",11
"298",2,"73",11
"299",2,"74",5
"300",2,"75",5
"301",2,"76",7
"302",2,"77",4
"303",2,"78",3
"304",2,"79",6
"305",2,"80",3
"306",2,"81",4
"307",2,"82",3
