"","week","age_group","num"
"1",-2,"7",1
"2",-2,"15",0
"3",-2,"25",3
"4",-2,"27",1
"5",-2,"29",1
"6",-2,"46",1
"7",-2,"51",1
"8",-2,"66",0
"9",-2,"74",0
"10",-2,"78",1
"11",-1,"0",1
"12",-1,"5",2
"13",-1,"8",1
"14",-1,"12",1
"15",-1,"13",1
"16",-1,"14",1
"17",-1,"15",0
"18",-1,"20",1
"19",-1,"21",2
"20",-1,"22",3
"21",-1,"23",2
"22",-1,"24",1
"23",-1,"25",0
"24",-1,"26",1
"25",-1,"27",2
"26",-1,"28",1
"27",-1,"29",3
"28",-1,"31",1
"29",-1,"32",0
"30",-1,"33",2
"31",-1,"34",2
"32",-1,"35",3
"33",-1,"36",1
"34",-1,"37",2
"35",-1,"38",0
"36",-1,"39",1
"37",-1,"40",1
"38",-1,"42",3
"39",-1,"43",1
"40",-1,"44",4
"41",-1,"45",1
"42",-1,"47",2
"43",-1,"48",1
"44",-1,"49",1
"45",-1,"51",1
"46",-1,"52",3
"47",-1,"53",0
"48",-1,"54",1
"49",-1,"55",0
"50",-1,"56",1
"51",-1,"57",1
"52",-1,"58",0
"53",-1,"59",1
"54",-1,"60",0
"55",-1,"61",2
"56",-1,"62",1
"57",-1,"63",1
"58",-1,"66",1
"59",-1,"69",0
"60",-1,"70",0
"61",-1,"71",1
"62",-1,"73",1
"63",-1,"74",0
"64",-1,"75",0
"65",-1,"76",0
"66",-1,"78",1
"67",-1,"88",0
"68",-1,"96",1
"69",0,"0",1
"70",0,"7",0
"71",0,"8",2
"72",0,"10",0
"73",0,"11",2
"74",0,"15",1
"75",0,"17",1
"76",0,"18",0
"77",0,"19",1
"78",0,"20",0
"79",0,"21",3
"80",0,"22",1
"81",0,"23",0
"82",0,"24",2
"83",0,"25",5
"84",0,"26",4
"85",0,"27",2
"86",0,"28",5
"87",0,"29",6
"88",0,"30",6
"89",0,"31",6
"90",0,"32",4
"91",0,"33",5
"92",0,"34",4
"93",0,"35",4
"94",0,"36",3
"95",0,"37",1
"96",0,"38",5
"97",0,"39",2
"98",0,"40",4
"99",0,"41",1
"100",0,"42",4
"101",0,"43",2
"102",0,"44",2
"103",0,"45",6
"104",0,"46",4
"105",0,"47",2
"106",0,"48",2
"107",0,"49",2
"108",0,"50",4
"109",0,"51",0
"110",0,"52",0
"111",0,"53",5
"112",0,"54",0
"113",0,"55",2
"114",0,"56",1
"115",0,"57",4
"116",0,"58",1
"117",0,"59",6
"118",0,"60",1
"119",0,"61",3
"120",0,"62",1
"121",0,"63",2
"122",0,"64",3
"123",0,"65",4
"124",0,"66",3
"125",0,"67",3
"126",0,"68",1
"127",0,"69",2
"128",0,"71",0
"129",0,"72",1
"130",0,"73",1
"131",0,"74",1
"132",0,"75",1
"133",0,"76",1
"134",0,"80",1
"135",0,"82",1
"136",0,"84",1
"137",0,"90",1
"138",1,"0",2
"139",1,"1",0
"140",1,"2",0
"141",1,"5",1
"142",1,"10",2
"143",1,"11",0
"144",1,"12",2
"145",1,"13",1
"146",1,"14",2
"147",1,"15",1
"148",1,"16",0
"149",1,"17",0
"150",1,"18",1
"151",1,"19",2
"152",1,"20",3
"153",1,"21",4
"154",1,"22",5
"155",1,"23",5
"156",1,"24",2
"157",1,"25",7
"158",1,"26",7
"159",1,"27",5
"160",1,"28",9
"161",1,"29",9
"162",1,"30",9
"163",1,"31",11
"164",1,"32",13
"165",1,"33",8
"166",1,"34",8
"167",1,"35",13
"168",1,"36",11
"169",1,"37",9
"170",1,"38",16
"171",1,"39",8
"172",1,"40",13
"173",1,"41",11
"174",1,"42",13
"175",1,"43",11
"176",1,"44",12
"177",1,"45",11
"178",1,"46",13
"179",1,"47",10
"180",1,"48",12
"181",1,"49",11
"182",1,"50",10
"183",1,"51",12
"184",1,"52",7
"185",1,"53",14
"186",1,"54",8
"187",1,"55",7
"188",1,"56",12
"189",1,"57",12
"190",1,"58",10
"191",1,"59",8
"192",1,"60",12
"193",1,"61",5
"194",1,"62",7
"195",1,"63",13
"196",1,"64",4
"197",1,"65",7
"198",1,"66",6
"199",1,"67",5
"200",1,"68",7
"201",1,"69",6
"202",1,"70",2
"203",1,"71",1
"204",1,"72",2
"205",1,"73",6
"206",1,"74",4
"207",1,"75",4
"208",1,"76",2
"209",1,"77",4
"210",1,"78",2
"211",1,"79",1
"212",1,"80",3
"213",1,"81",3
"214",1,"82",3
"215",1,"83",0
"216",1,"84",0
"217",1,"85",1
"218",1,"87",1
"219",1,"88",0
"220",1,"89",2
"221",1,"90",1
"222",1,"91",1
"223",1,"94",1
"224",1,"96",1
"225",2,"0",14
"226",2,"1",4
"227",2,"2",4
"228",2,"3",2
"229",2,"4",3
"230",2,"5",4
"231",2,"6",2
"232",2,"7",3
"233",2,"8",3
"234",2,"9",5
"235",2,"10",7
"236",2,"11",1
"237",2,"12",4
"238",2,"13",3
"239",2,"14",2
"240",2,"15",6
"241",2,"16",4
"242",2,"17",5
"243",2,"18",11
"244",2,"19",28
"245",2,"20",31
"246",2,"21",39
"247",2,"22",42
"248",2,"23",47
"249",2,"24",48
"250",2,"25",49
"251",2,"26",41
"252",2,"27",45
"253",2,"28",52
"254",2,"29",38
"255",2,"30",52
"256",2,"31",51
"257",2,"32",45
"258",2,"33",41
"259",2,"34",43
"260",2,"35",54
"261",2,"36",46
"262",2,"37",34
"263",2,"38",37
"264",2,"39",27
"265",2,"40",42
"266",2,"41",36
"267",2,"42",30
"268",2,"43",22
"269",2,"44",54
"270",2,"45",40
"271",2,"46",53
"272",2,"47",35
"273",2,"48",47
"274",2,"49",47
"275",2,"50",38
"276",2,"51",43
"277",2,"52",45
"278",2,"53",36
"279",2,"54",47
"280",2,"55",49
"281",2,"56",29
"282",2,"57",36
"283",2,"58",46
"284",2,"59",27
"285",2,"60",28
"286",2,"61",29
"287",2,"62",27
"288",2,"63",24
"289",2,"64",25
"290",2,"65",14
"291",2,"66",20
"292",2,"67",15
"293",2,"68",20
"294",2,"69",30
"295",2,"70",19
"296",2,"71",10
"297",2,"72",16
"298",2,"73",13
"299",2,"74",5
"300",2,"75",8
"301",2,"76",12
"302",2,"77",13
"303",2,"78",5
"304",2,"79",9
"305",2,"80",10
"306",2,"81",5
"307",2,"82",4
"308",2,"83",4
"309",2,"84",2
"310",2,"85",3
