"","week","age_group","num"
"1",0,"15",0
"2",0,"38",0
"3",0,"45",1
"4",0,"50",0
"5",0,"65",1
"6",0,"69",0
"7",0,"75",1
"8",0,"76",1
"9",0,"78",0
"10",0,"83",0
"11",0,"94",0
"12",1,"19",1
"13",1,"26",0
"14",1,"35",0
"15",1,"43",0
"16",1,"45",1
"17",1,"50",0
"18",1,"52",1
"19",1,"53",0
"20",1,"54",0
"21",1,"55",0
"22",1,"56",0
"23",1,"57",0
"24",1,"58",1
"25",1,"59",1
"26",1,"60",2
"27",1,"62",0
"28",1,"63",1
"29",1,"64",0
"30",1,"65",3
"31",1,"66",1
"32",1,"68",0
"33",1,"69",1
"34",1,"72",0
"35",1,"73",0
"36",1,"74",1
"37",1,"75",0
"38",1,"76",2
"39",1,"77",0
"40",1,"79",1
"41",1,"80",1
"42",1,"81",1
"43",1,"83",1
"44",1,"85",0
"45",1,"87",0
"46",1,"89",0
"47",1,"91",0
"48",1,"96",0
"49",2,"30",0
"50",2,"31",0
"51",2,"32",0
"52",2,"34",0
"53",2,"37",1
"54",2,"38",0
"55",2,"39",0
"56",2,"40",2
"57",2,"41",0
"58",2,"42",0
"59",2,"43",1
"60",2,"45",2
"61",2,"46",0
"62",2,"47",0
"63",2,"48",0
"64",2,"49",0
"65",2,"50",0
"66",2,"51",1
"67",2,"52",1
"68",2,"53",2
"69",2,"54",1
"70",2,"55",1
"71",2,"56",0
"72",2,"57",1
"73",2,"58",3
"74",2,"59",0
"75",2,"60",1
"76",2,"61",0
"77",2,"62",1
"78",2,"63",0
"79",2,"64",0
"80",2,"65",1
"81",2,"66",3
"82",2,"67",2
"83",2,"68",2
"84",2,"69",2
"85",2,"70",0
"86",2,"71",0
"87",2,"72",2
"88",2,"73",2
"89",2,"74",0
"90",2,"75",1
"91",2,"76",2
"92",2,"77",2
"93",2,"78",1
"94",2,"79",3
"95",2,"80",2
"96",2,"81",0
"97",2,"82",2
"98",2,"83",0
"99",2,"84",1
"100",2,"85",2
"101",2,"87",0
"102",2,"88",3
"103",2,"89",1
"104",2,"90",1
"105",2,"93",1
"106",2,"97",0
"107",3,"0",1
"108",3,"2",2
"109",3,"5",1
"110",3,"22",0
"111",3,"25",0
"112",3,"28",1
"113",3,"29",0
"114",3,"30",0
"115",3,"32",0
"116",3,"33",2
"117",3,"35",0
"118",3,"36",0
"119",3,"37",0
"120",3,"38",2
"121",3,"39",2
"122",3,"40",0
"123",3,"41",0
"124",3,"42",0
"125",3,"43",1
"126",3,"44",1
"127",3,"45",1
"128",3,"46",1
"129",3,"47",2
"130",3,"48",1
"131",3,"49",0
"132",3,"50",2
"133",3,"51",0
"134",3,"52",3
"135",3,"53",0
"136",3,"54",2
"137",3,"55",2
"138",3,"56",3
"139",3,"57",1
"140",3,"58",0
"141",3,"59",2
"142",3,"60",2
"143",3,"61",7
"144",3,"62",4
"145",3,"63",2
"146",3,"64",2
"147",3,"65",3
"148",3,"66",3
"149",3,"67",2
"150",3,"68",3
"151",3,"69",2
"152",3,"70",2
"153",3,"71",4
"154",3,"72",6
"155",3,"73",1
"156",3,"74",3
"157",3,"75",5
"158",3,"76",0
"159",3,"77",0
"160",3,"78",1
"161",3,"79",5
"162",3,"80",5
