"","week","age_group","num"
"1",0,"15",1
"2",0,"38",2
"3",0,"45",2
"4",0,"50",1
"5",0,"65",0
"6",0,"69",2
"7",0,"75",0
"8",0,"76",1
"9",0,"78",1
"10",0,"83",2
"11",0,"94",1
"12",1,"19",0
"13",1,"26",3
"14",1,"35",2
"15",1,"43",2
"16",1,"45",1
"17",1,"50",1
"18",1,"52",1
"19",1,"53",2
"20",1,"54",2
"21",1,"55",1
"22",1,"56",2
"23",1,"57",2
"24",1,"58",0
"25",1,"59",3
"26",1,"60",2
"27",1,"62",1
"28",1,"63",3
"29",1,"64",1
"30",1,"65",1
"31",1,"66",3
"32",1,"68",1
"33",1,"69",0
"34",1,"72",3
"35",1,"73",2
"36",1,"74",0
"37",1,"75",2
"38",1,"76",0
"39",1,"77",3
"40",1,"79",0
"41",1,"80",1
"42",1,"81",0
"43",1,"83",0
"44",1,"85",1
"45",1,"87",1
"46",1,"89",1
"47",1,"91",1
"48",1,"96",1
"49",2,"30",1
"50",2,"31",1
"51",2,"32",1
"52",2,"34",2
"53",2,"37",0
"54",2,"38",3
"55",2,"39",1
"56",2,"40",2
"57",2,"41",1
"58",2,"42",2
"59",2,"43",1
"60",2,"45",2
"61",2,"46",2
"62",2,"47",1
"63",2,"48",1
"64",2,"49",3
"65",2,"50",2
"66",2,"51",2
"67",2,"52",4
"68",2,"53",1
"69",2,"54",1
"70",2,"55",2
"71",2,"56",2
"72",2,"57",5
"73",2,"58",7
"74",2,"59",4
"75",2,"60",4
"76",2,"61",3
"77",2,"62",3
"78",2,"63",3
"79",2,"64",3
"80",2,"65",2
"81",2,"66",3
"82",2,"67",4
"83",2,"68",4
"84",2,"69",4
"85",2,"70",7
"86",2,"71",2
"87",2,"72",2
"88",2,"73",3
"89",2,"74",4
"90",2,"75",3
"91",2,"76",0
"92",2,"77",1
"93",2,"78",1
"94",2,"79",3
"95",2,"80",2
"96",2,"81",2
"97",2,"82",5
"98",2,"83",1
"99",2,"84",3
"100",2,"85",1
"101",2,"87",3
"102",2,"88",1
"103",2,"89",2
"104",2,"90",1
"105",2,"93",1
"106",2,"97",1
"107",3,"0",0
"108",3,"2",0
"109",3,"5",1
"110",3,"22",1
"111",3,"25",1
"112",3,"28",2
"113",3,"29",1
"114",3,"30",1
"115",3,"32",2
"116",3,"33",0
"117",3,"35",1
"118",3,"36",1
"119",3,"37",2
"120",3,"38",3
"121",3,"39",0
"122",3,"40",1
"123",3,"41",3
"124",3,"42",3
"125",3,"43",3
"126",3,"44",3
"127",3,"45",2
"128",3,"46",3
"129",3,"47",7
"130",3,"48",2
"131",3,"49",4
"132",3,"50",2
"133",3,"51",8
"134",3,"52",6
"135",3,"53",8
"136",3,"54",8
"137",3,"55",4
"138",3,"56",6
"139",3,"57",5
"140",3,"58",6
"141",3,"59",6
"142",3,"60",7
"143",3,"61",9
"144",3,"62",9
"145",3,"63",11
"146",3,"64",4
"147",3,"65",4
"148",3,"66",9
"149",3,"67",6
"150",3,"68",4
"151",3,"69",9
"152",3,"70",3
"153",3,"71",6
"154",3,"72",4
"155",3,"73",5
"156",3,"74",3
"157",3,"75",6
"158",3,"76",8
"159",3,"77",13
"160",3,"78",5
"161",3,"79",2
"162",3,"80",9
"163",3,"81",6
"164",3,"82",6
"165",3,"83",2
"166",3,"84",6
"167",3,"85",6
"168",3,"86",3
"169",3,"87",3
"170",3,"89",2
"171",3,"90",1
"172",3,"91",2
"173",3,"92",1
"174",3,"93",1
"175",3,"94",0
"176",3,"97",1
"177",4,"5",0
"178",4,"10",0
"179",4,"13",0
"180",4,"16",1
"181",4,"17",0
"182",4,"20",0
"183",4,"21",0
"184",4,"22",1
"185",4,"23",0
"186",4,"27",2
"187",4,"28",1
"188",4,"29",1
"189",4,"30",1
"190",4,"31",1
"191",4,"33",2
"192",4,"34",2
"193",4,"35",2
"194",4,"36",1
"195",4,"38",3
"196",4,"39",6
"197",4,"40",4
"198",4,"41",4
"199",4,"42",1
"200",4,"43",9
"201",4,"44",4
"202",4,"45",4
"203",4,"46",4
"204",4,"47",2
"205",4,"48",7
"206",4,"49",7
"207",4,"50",10
"208",4,"51",14
"209",4,"52",12
"210",4,"53",9
"211",4,"54",6
"212",4,"55",8
"213",4,"56",12
"214",4,"57",15
"215",4,"58",9
"216",4,"59",7
"217",4,"60",13
"218",4,"61",8
"219",4,"62",22
"220",4,"63",8
"221",4,"64",16
"222",4,"65",14
"223",4,"66",17
"224",4,"67",13
"225",4,"68",12
"226",4,"69",15
"227",4,"70",8
"228",4,"71",11
"229",4,"72",15
"230",4,"73",14
"231",4,"74",15
"232",4,"75",14
"233",4,"76",6
"234",4,"77",11
"235",4,"78",11
"236",4,"79",10
"237",4,"80",3
"238",4,"81",5
"239",4,"82",7
"240",4,"83",5
"241",4,"84",8
"242",4,"85",4
"243",4,"86",9
"244",4,"87",5
"245",4,"88",6
"246",4,"89",4
"247",4,"90",2
"248",4,"91",2
"249",4,"92",3
"250",4,"93",0
"251",4,"94",0
"252",4,"98",0
"253",4,"99",0
"254",5,"2",0
"255",5,"7",1
"256",5,"16",1
"257",5,"20",0
"258",5,"21",1
"259",5,"27",2
"260",5,"28",2
"261",5,"29",1
"262",5,"30",2
"263",5,"31",1
"264",5,"32",0
"265",5,"33",4
"266",5,"34",1
"267",5,"35",4
"268",5,"36",2
"269",5,"37",5
"270",5,"38",4
"271",5,"39",2
"272",5,"40",1
"273",5,"41",3
"274",5,"42",7
"275",5,"43",7
"276",5,"44",8
"277",5,"45",7
"278",5,"46",1
"279",5,"47",9
"280",5,"48",12
"281",5,"49",11
"282",5,"50",12
"283",5,"51",15
"284",5,"52",10
"285",5,"53",25
"286",5,"54",14
"287",5,"55",14
"288",5,"56",19
"289",5,"57",20
"290",5,"58",11
"291",5,"59",15
"292",5,"60",24
"293",5,"61",15
"294",5,"62",18
"295",5,"63",30
"296",5,"64",24
"297",5,"65",27
"298",5,"66",22
"299",5,"67",28
"300",5,"68",25
"301",5,"69",28
"302",5,"70",20
"303",5,"71",19
"304",5,"72",18
"305",5,"73",22
"306",5,"74",26
"307",5,"75",12
"308",5,"76",19
"309",5,"77",20
"310",5,"78",12
"311",5,"79",11
"312",5,"80",14
"313",5,"81",5
"314",5,"82",10
"315",5,"83",6
"316",5,"84",12
"317",5,"85",8
"318",5,"86",6
"319",5,"87",7
"320",5,"88",7
"321",5,"89",4
"322",5,"90",4
"323",5,"91",2
"324",5,"92",2
"325",5,"93",4
"326",5,"95",2
"327",5,"97",0
"328",5,"98",1
"329",5,"99",2
"330",6,"2",0
"331",6,"4",0
"332",6,"7",1
"333",6,"10",0
"334",6,"16",1
"335",6,"19",0
"336",6,"21",0
"337",6,"23",1
"338",6,"24",1
"339",6,"26",0
"340",6,"28",1
"341",6,"29",2
"342",6,"30",1
"343",6,"31",1
"344",6,"32",2
"345",6,"33",1
"346",6,"34",2
"347",6,"35",0
"348",6,"36",2
"349",6,"37",3
"350",6,"38",7
"351",6,"39",7
"352",6,"40",5
"353",6,"41",5
"354",6,"42",6
"355",6,"43",5
"356",6,"44",10
"357",6,"45",13
"358",6,"46",10
"359",6,"47",5
"360",6,"48",14
"361",6,"49",13
"362",6,"50",20
"363",6,"51",12
"364",6,"52",21
"365",6,"53",16
"366",6,"54",26
"367",6,"55",35
"368",6,"56",23
"369",6,"57",20
"370",6,"58",13
"371",6,"59",24
"372",6,"60",35
"373",6,"61",40
"374",6,"62",22
"375",6,"63",32
"376",6,"64",22
"377",6,"65",31
"378",6,"66",20
"379",6,"67",30
"380",6,"68",37
"381",6,"69",32
"382",6,"70",32
"383",6,"71",24
"384",6,"72",25
"385",6,"73",17
"386",6,"74",29
"387",6,"75",26
"388",6,"76",17
"389",6,"77",28
"390",6,"78",19
"391",6,"79",21
"392",6,"80",18
"393",6,"81",15
"394",6,"82",13
"395",6,"83",12
"396",6,"84",12
"397",6,"85",12
"398",6,"86",11
"399",6,"87",11
"400",6,"88",10
"401",6,"89",6
"402",6,"90",8
"403",6,"91",4
"404",6,"92",2
"405",6,"93",5
"406",6,"94",2
"407",6,"95",0
"408",6,"97",1
"409",6,"98",1
"410",7,"3",2
"411",7,"4",1
"412",7,"7",1
"413",7,"17",1
"414",7,"20",1
"415",7,"23",1
"416",7,"24",2
"417",7,"27",1
"418",7,"28",1
"419",7,"30",2
"420",7,"31",2
"421",7,"32",6
"422",7,"33",2
"423",7,"34",2
"424",7,"35",2
"425",7,"36",5
"426",7,"37",4
"427",7,"38",3
"428",7,"39",3
"429",7,"40",5
"430",7,"41",8
"431",7,"42",6
"432",7,"43",12
"433",7,"44",6
"434",7,"45",14
"435",7,"46",9
"436",7,"47",9
"437",7,"48",11
"438",7,"49",18
"439",7,"50",10
"440",7,"51",15
"441",7,"52",19
"442",7,"53",16
"443",7,"54",19
"444",7,"55",28
"445",7,"56",23
"446",7,"57",33
"447",7,"58",24
"448",7,"59",34
"449",7,"60",43
"450",7,"61",38
"451",7,"62",31
"452",7,"63",31
"453",7,"64",34
"454",7,"65",34
"455",7,"66",26
"456",7,"67",38
"457",7,"68",24
"458",7,"69",31
"459",7,"70",32
"460",7,"71",29
"461",7,"72",30
"462",7,"73",32
"463",7,"74",34
"464",7,"75",28
"465",7,"76",21
"466",7,"77",34
"467",7,"78",14
"468",7,"79",21
"469",7,"80",17
"470",7,"81",24
"471",7,"82",22
"472",7,"83",20
"473",7,"84",15
"474",7,"85",11
"475",7,"86",10
"476",7,"87",12
"477",7,"88",11
"478",7,"89",7
"479",7,"90",9
"480",7,"91",5
"481",7,"92",3
"482",7,"93",3
"483",7,"94",2
"484",7,"95",1
"485",7,"98",0
"486",8,"1",1
"487",8,"9",1
"488",8,"10",1
"489",8,"21",1
"490",8,"25",1
"491",8,"29",1
"492",8,"30",2
"493",8,"31",3
"494",8,"32",1
"495",8,"33",3
"496",8,"34",1
"497",8,"35",3
"498",8,"37",4
"499",8,"38",3
"500",8,"39",5
"501",8,"40",4
"502",8,"41",1
"503",8,"42",4
"504",8,"43",8
"505",8,"44",5
"506",8,"45",13
"507",8,"46",5
"508",8,"47",10
"509",8,"48",2
"510",8,"49",14
"511",8,"50",10
"512",8,"51",8
"513",8,"52",15
"514",8,"53",12
"515",8,"54",9
"516",8,"55",11
"517",8,"56",17
"518",8,"57",17
"519",8,"58",19
"520",8,"59",12
"521",8,"60",18
"522",8,"61",17
"523",8,"62",20
"524",8,"63",17
"525",8,"64",21
"526",8,"65",28
"527",8,"66",23
"528",8,"67",23
"529",8,"68",18
"530",8,"69",19
"531",8,"70",17
"532",8,"71",17
"533",8,"72",21
"534",8,"73",15
"535",8,"74",17
"536",8,"75",14
"537",8,"76",17
"538",8,"77",13
"539",8,"78",12
"540",8,"79",12
"541",8,"80",9
"542",8,"81",13
"543",8,"82",12
"544",8,"83",7
"545",8,"84",10
"546",8,"85",12
"547",8,"86",5
"548",8,"87",4
"549",8,"88",6
"550",8,"89",2
"551",8,"90",8
"552",8,"91",4
"553",8,"92",5
"554",8,"93",0
"555",8,"94",1
"556",8,"95",3
"557",8,"98",1
"558",9,"9",0
"559",9,"17",2
"560",9,"23",1
"561",9,"26",1
"562",9,"27",2
"563",9,"28",1
"564",9,"34",1
"565",9,"35",3
"566",9,"36",0
"567",9,"37",2
"568",9,"38",3
"569",9,"39",3
"570",9,"40",1
"571",9,"41",3
"572",9,"42",3
"573",9,"43",10
"574",9,"44",3
"575",9,"45",3
"576",9,"46",4
"577",9,"47",3
"578",9,"48",6
"579",9,"49",4
"580",9,"50",11
"581",9,"51",5
"582",9,"52",11
"583",9,"53",3
"584",9,"54",4
"585",9,"55",6
"586",9,"56",9
"587",9,"57",10
"588",9,"58",7
"589",9,"59",22
"590",9,"60",14
"591",9,"61",8
"592",9,"62",6
"593",9,"63",14
"594",9,"64",14
"595",9,"65",14
"596",9,"66",16
"597",9,"67",14
"598",9,"68",16
"599",9,"69",18
"600",9,"70",12
"601",9,"71",8
"602",9,"72",21
"603",9,"73",11
"604",9,"74",11
"605",9,"75",14
"606",9,"76",10
"607",9,"77",14
"608",9,"78",9
"609",9,"79",5
"610",9,"80",7
"611",9,"81",4
"612",9,"82",4
"613",9,"83",4
"614",9,"84",3
"615",9,"85",12
"616",9,"86",4
"617",9,"87",3
"618",9,"88",4
"619",9,"89",3
"620",9,"90",1
"621",9,"91",2
"622",9,"92",2
"623",9,"93",2
"624",9,"94",2
"625",9,"95",3
"626",9,"97",0
"627",10,"1",2
"628",10,"6",1
"629",10,"11",0
"630",10,"14",1
"631",10,"20",2
"632",10,"21",0
"633",10,"22",1
"634",10,"26",1
"635",10,"27",1
"636",10,"28",3
"637",10,"29",2
"638",10,"30",2
"639",10,"31",2
"640",10,"32",1
"641",10,"33",2
"642",10,"34",1
"643",10,"35",3
"644",10,"36",1
"645",10,"37",3
"646",10,"38",3
"647",10,"39",9
"648",10,"40",4
"649",10,"41",4
"650",10,"42",11
"651",10,"43",7
"652",10,"44",7
"653",10,"45",6
"654",10,"46",9
"655",10,"47",7
"656",10,"48",15
"657",10,"49",10
"658",10,"50",9
"659",10,"51",19
"660",10,"52",18
"661",10,"53",13
"662",10,"54",18
"663",10,"55",18
"664",10,"56",19
"665",10,"57",28
"666",10,"58",20
"667",10,"59",22
"668",10,"60",30
"669",10,"61",28
"670",10,"62",28
"671",10,"63",23
"672",10,"64",20
"673",10,"65",39
"674",10,"66",21
"675",10,"67",31
"676",10,"68",27
"677",10,"69",40
"678",10,"70",25
"679",10,"71",25
"680",10,"72",30
"681",10,"73",34
"682",10,"74",19
"683",10,"75",29
"684",10,"76",20
"685",10,"77",23
"686",10,"78",18
"687",10,"79",14
"688",10,"80",17
"689",10,"81",11
"690",10,"82",19
"691",10,"83",13
"692",10,"84",14
"693",10,"85",16
"694",10,"86",8
"695",10,"87",11
"696",10,"88",3
"697",10,"89",7
"698",10,"90",5
"699",10,"91",3
"700",10,"92",4
"701",10,"93",2
"702",10,"94",1
"703",10,"95",1
"704",10,"96",0
"705",10,"98",1
"706",11,"0",0
"707",11,"1",0
"708",11,"19",1
"709",11,"21",1
"710",11,"24",1
"711",11,"26",3
"712",11,"28",0
"713",11,"29",1
"714",11,"30",4
"715",11,"31",2
"716",11,"32",4
"717",11,"33",2
"718",11,"34",4
"719",11,"35",3
"720",11,"37",4
"721",11,"38",1
"722",11,"39",5
"723",11,"40",3
"724",11,"41",4
"725",11,"42",5
"726",11,"43",7
"727",11,"44",6
"728",11,"45",6
"729",11,"46",13
"730",11,"47",10
"731",11,"48",7
"732",11,"49",19
"733",11,"50",15
"734",11,"51",16
"735",11,"52",17
"736",11,"53",22
"737",11,"54",21
"738",11,"55",20
"739",11,"56",25
"740",11,"57",23
"741",11,"58",26
"742",11,"59",28
"743",11,"60",31
"744",11,"61",29
"745",11,"62",17
"746",11,"63",23
"747",11,"64",26
"748",11,"65",26
"749",11,"66",21
"750",11,"67",26
"751",11,"68",23
"752",11,"69",30
"753",11,"70",16
"754",11,"71",16
"755",11,"72",28
"756",11,"73",33
"757",11,"74",29
"758",11,"75",16
"759",11,"76",18
"760",11,"77",25
"761",11,"78",15
"762",11,"79",14
"763",11,"80",18
"764",11,"81",15
"765",11,"82",11
"766",11,"83",16
"767",11,"84",15
"768",11,"85",10
"769",11,"86",4
"770",11,"87",6
"771",11,"88",7
"772",11,"89",6
"773",11,"90",2
"774",11,"91",4
"775",11,"92",6
"776",11,"93",1
"777",11,"94",1
"778",11,"96",0
"779",11,"97",1
"780",11,"99",0
"781",11,"100",0
"782",12,"0",1
"783",12,"2",0
"784",12,"7",1
"785",12,"15",0
"786",12,"18",1
"787",12,"19",1
"788",12,"20",1
"789",12,"22",2
"790",12,"23",2
"791",12,"24",0
"792",12,"25",1
"793",12,"26",1
"794",12,"27",2
"795",12,"28",1
"796",12,"30",1
"797",12,"31",1
"798",12,"32",3
"799",12,"33",1
"800",12,"34",2
"801",12,"35",2
"802",12,"36",3
"803",12,"37",5
"804",12,"38",3
"805",12,"39",4
"806",12,"40",6
"807",12,"41",11
"808",12,"42",4
"809",12,"43",13
"810",12,"44",5
"811",12,"45",14
"812",12,"46",14
"813",12,"47",14
"814",12,"48",18
"815",12,"49",11
"816",12,"50",20
"817",12,"51",16
"818",12,"52",11
"819",12,"53",24
"820",12,"54",13
"821",12,"55",21
"822",12,"56",25
"823",12,"57",22
"824",12,"58",28
"825",12,"59",27
"826",12,"60",18
"827",12,"61",49
"828",12,"62",34
"829",12,"63",33
"830",12,"64",24
"831",12,"65",33
"832",12,"66",38
"833",12,"67",18
"834",12,"68",21
"835",12,"69",36
"836",12,"70",32
"837",12,"71",32
"838",12,"72",28
"839",12,"73",38
"840",12,"74",22
"841",12,"75",27
"842",12,"76",21
"843",12,"77",24
"844",12,"78",15
"845",12,"79",18
"846",12,"80",18
"847",12,"81",21
"848",12,"82",26
"849",12,"83",19
"850",12,"84",7
"851",12,"85",15
"852",12,"86",14
"853",12,"87",8
"854",12,"88",5
"855",12,"89",9
"856",12,"90",7
"857",12,"91",9
"858",12,"92",3
"859",12,"93",3
"860",12,"94",2
"861",12,"95",1
"862",12,"96",2
"863",12,"97",1
"864",12,"98",2
"865",12,"99",1
"866",12,"101",1
"867",13,"3",1
"868",13,"4",1
"869",13,"10",1
"870",13,"18",1
"871",13,"22",1
"872",13,"25",0
"873",13,"26",1
"874",13,"27",1
"875",13,"28",0
"876",13,"29",1
"877",13,"30",0
"878",13,"31",2
"879",13,"32",4
"880",13,"34",5
"881",13,"35",1
"882",13,"36",2
"883",13,"37",6
"884",13,"38",6
"885",13,"39",4
"886",13,"41",6
"887",13,"42",8
"888",13,"43",6
"889",13,"44",6
"890",13,"45",11
"891",13,"46",9
"892",13,"47",7
"893",13,"48",9
"894",13,"49",11
"895",13,"50",16
"896",13,"51",9
"897",13,"52",14
"898",13,"53",13
"899",13,"54",15
"900",13,"55",15
"901",13,"56",17
"902",13,"57",26
"903",13,"58",20
"904",13,"59",33
"905",13,"60",30
"906",13,"61",35
"907",13,"62",24
"908",13,"63",24
"909",13,"64",25
"910",13,"65",23
"911",13,"66",34
"912",13,"67",24
"913",13,"68",28
"914",13,"69",26
"915",13,"70",19
"916",13,"71",31
"917",13,"72",19
"918",13,"73",27
"919",13,"74",22
"920",13,"75",26
"921",13,"76",21
"922",13,"77",24
"923",13,"78",18
"924",13,"79",17
"925",13,"80",19
"926",13,"81",20
"927",13,"82",19
"928",13,"83",12
"929",13,"84",14
"930",13,"85",8
"931",13,"86",13
"932",13,"87",16
"933",13,"88",8
"934",13,"89",10
"935",13,"90",7
"936",13,"91",4
"937",13,"92",3
"938",13,"93",1
"939",13,"94",1
"940",13,"95",2
"941",13,"96",3
"942",13,"98",0
"943",13,"101",1
"944",13,"104",1
"945",14,"0",1
"946",14,"5",1
"947",14,"7",1
"948",14,"14",0
"949",14,"16",0
"950",14,"18",0
"951",14,"19",0
"952",14,"21",0
"953",14,"22",1
"954",14,"23",1
"955",14,"24",0
"956",14,"25",2
"957",14,"28",1
"958",14,"29",2
"959",14,"30",1
"960",14,"31",1
"961",14,"32",4
"962",14,"33",2
"963",14,"34",1
"964",14,"35",3
"965",14,"36",1
"966",14,"37",3
"967",14,"38",4
"968",14,"39",5
"969",14,"40",5
"970",14,"41",5
"971",14,"42",4
"972",14,"43",4
"973",14,"44",9
"974",14,"45",9
"975",14,"46",8
